"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"600pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.642012738853951","1","","","40","527"
"100pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.125219569787038","1","","","40","527"
"125pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.138645140445074","1","","","40","527"
"125pi25lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.165307809011756","1","","","40","527"
"125pi40lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.19711632822493","1","","","40","527"
"125pi55lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.191891707117044","1","","","40","527"
"125pi55lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.21891913724874","1","","","40","527"
"200pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.223828861494341","1","","","40","527"
"200pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.269743967921079","1","","","40","527"
"400pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.339392362122676","1","","","40","527"
"400pi100lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.478313383151503","1","","","40","527"
"600pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.374751542373559","1","","","40","527"
"600pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.384994536280682","1","","","40","527"
"600pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.634827820288554","1","","","40","527"
"1000pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.371642966563746","1","","","40","527"
"1000pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.385343878491024","1","","","40","527"
"1000pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.642536795679109","1","","","40","527"
"1000pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.635581267684239","1","","","40","527"
"1000pi400lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.835488385110435","1","","","40","527"
"1000pi400lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.831350512817471","1","","","40","527"
"1000pi400lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.772013458654802","1","","","40","527"
"1000pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.723849932031056","1","","","40","527"
